date,ticker,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl
2022-11-16,IWM,1,2022-11-15,2022-11-16,187.56,186.59,-0.9699999999999989,-48.49999999999994,-98.99999999999989
2022-11-17,DIA,1,2022-11-16,2022-11-17,336.08,332.72,-3.359999999999957,-167.99999999999784,-337.9999999999957
2022-11-17,IWM,1,2022-11-16,2022-11-17,184.26,181.61,-2.6499999999999773,-132.49999999999886,-266.9999999999977
2022-11-18,DIA,1,2022-11-17,2022-11-18,336.11,337.48,1.3700000000000045,68.50000000000023,135.00000000000045
2022-11-21,DIA,1,2022-11-18,2022-11-21,337.38,337.65000000000003,0.27000000000003865,13.500000000001933,25.000000000003865
2022-11-21,IWM,1,2022-11-18,2022-11-21,183.73,182.73000000000002,-0.9999999999999716,-49.99999999999858,-101.99999999999716
2022-11-22,DIA,1,2022-11-21,2022-11-22,337.06,338.86,1.8000000000000114,90.00000000000057,178.00000000000114
2022-11-22,IWM,1,2022-11-21,2022-11-22,182.76999999999998,183.73000000000002,0.9600000000000364,48.00000000000182,94.00000000000364
2022-11-23,DIA,1,2022-11-22,2022-11-23,340.96999999999997,340.65000000000003,-0.31999999999993634,-15.999999999996817,-33.99999999999363
2022-11-23,IWM,1,2022-11-22,2022-11-23,184.72,184.26000000000002,-0.45999999999997954,-22.999999999998977,-47.999999999997954
2022-11-25,DIA,1,2022-11-23,2022-11-25,341.96,342.08,0.12000000000000455,6.000000000000227,10.000000000000455
2022-11-25,IWM,1,2022-11-23,2022-11-25,185.2,185.08,-0.11999999999997613,-5.999999999998806,-13.999999999997613
2022-11-28,IWM,1,2022-11-25,2022-11-28,185.59,184.14000000000001,-1.4499999999999886,-72.49999999999943,-146.99999999999886
2022-11-28,DIA,1,2022-11-25,2022-11-28,343.53,341.68,-1.849999999999966,-92.4999999999983,-186.9999999999966
2022-11-29,DIA,1,2022-11-28,2022-11-29,338.5,337.91,-0.589999999999975,-29.49999999999875,-60.9999999999975
2022-11-30,DIA,1,2022-11-29,2022-11-30,338.49,338.61,0.12000000000000455,6.000000000000227,10.000000000000455
2022-11-30,IWM,1,2022-11-29,2022-11-30,182.38,182.66,0.28000000000000114,14.000000000000057,26.000000000000114
2022-12-01,DIA,1,2022-11-30,2022-12-01,346.15999999999997,346.7,0.5400000000000205,27.000000000001023,52.000000000002046
2022-12-01,IWM,1,2022-11-30,2022-12-01,187.38,188.14000000000001,0.7600000000000193,38.000000000000966,74.00000000000193
